Station,dist_to_stream_km,dist_to_nenana_km
1001,0.709938794883558,145.6884875901408
1002,0.3356372425778572,144.94719023479226
1003,0.5858776713739874,144.22154963695112
1004,1.158809400796341,143.6083235377034
1005,0.9467598296346981,142.81729135712376
1006,0.9394743733132869,142.0054132540261
1007,0.8115336962788523,141.36337585210717
1008,0.6147379164460968,140.78056258803818
1009,0.41155496253127005,139.84194158714777
1010,0.5309749643660452,138.95177674207122
1011,0.08683007881921362,138.0348583596578
1012,0.3862722032307805,137.12813395685188
1013,0.4722920912841229,136.42515198481024
1014,0.7949109079597463,135.66780346668003
1015,0.6062106690714204,134.83640445881892
1016,0.191676141227979,134.16221139453154
1017,0.2392549341726263,133.4235284751193
1018,0.813210226032098,132.54742379290622
1019,1.1021166815808034,131.7221165533676
1020,0.9122447055733613,131.01963254428537
1021,0.9300506060221337,130.17884800731636
1022,0.8551705436082147,129.2475703254626
1023,0.032914622570654216,128.25168037482166
1024,0.5827543994017857,127.24542447951116
1025,0.6486975617501586,126.25064664450514
1026,0.5349107431890057,125.33972016488683
1027,0.23269407519367452,124.56853219436911
1028,0.3500302822138159,123.83089757406498
1029,0.3396189400936756,123.21799419098619
1030,0.09715547832344745,122.38814143189703
1031,0.20892749013708214,121.63740297036385
1032,0.32870413445156593,120.80080407244421
1033,0.49533475827962936,120.01251458251362
1034,0.6095977579312085,119.21917124313441
1035,1.2122547885520076,118.21888908280458
1036,1.059630830199892,117.41848069257476
1037,0.12335946184772899,116.76607075644637
1038,0.7099639960228069,116.02550466646272
1039,1.3704294661036203,115.05673959667833
1040,0.8888043284943528,114.34094490644084
1041,0.219063676415146,113.59284151110388
1042,0.16761284770373197,113.0057847469795
1043,0.8419565612745418,112.53270427551102
1044,1.544544536278771,112.07543876706559
1045,1.1726995807902836,111.18808486903968
1046,0.8562756349132136,110.2257852810803
1047,0.7350235335875444,109.20800350223895
1048,0.069997265548884,108.26294957514989
1049,0.6906162275282776,107.30194412756735
1050,1.121713715795339,106.37022134018612
1051,1.31642674544002,105.35653137526955
1052,1.121420995086969,104.38316152591023
1053,1.1445930220945117,103.40336072968171
1054,1.1914093017688583,102.46291562129187
1055,1.0835927645266936,101.4400146746478
1056,0.9829371592047461,100.54411486207367
1057,1.1762344349562255,99.50972197983002
1058,1.266135594475148,98.54856958791484
1059,1.053650726078596,97.6245432745927
1060,1.4013120006929283,96.61775290823013
1061,1.3947188740429708,95.65272664249252
1062,1.089552041343896,94.67937028510032
1063,0.6446065498043205,93.63974760482763
1064,0.730774944910904,92.66666895921865
1065,1.0142080441114356,91.61797744553823
1066,1.0639604142665828,90.75533057526285
1067,0.7489712097523105,89.75221815524628
1068,0.5521293564247505,88.80590086144473
1069,0.5422979691424126,87.81012218543738
1070,1.0069803338197767,86.79819833782918
1071,1.6555997193741974,85.85957743452127
1072,1.1505548218762787,85.02324143171542
1073,1.1489369728781778,84.04785693633903
1074,1.385351527818783,83.13137504620886
1075,1.069488871769013,82.11045920511577
1076,1.4109035691644545,81.54180416296907
1077,1.569302976196778,80.7164515272217
1078,0.8954916381346187,79.7685311761704
1079,0.18010033859774216,78.78418850843089
1080,0.6461920366078334,77.94005232963383
1081,1.412958329574583,77.0396326051419
1082,1.2232004876805684,76.05822094934402
1083,0.8543420964653771,75.05509490525027
1084,0.9673170274236427,74.0431554682721
1085,0.48640381713850894,73.10540306641616
1086,0.2590700071546625,72.07872516215973
1087,0.23321477393367407,71.09730169550211
1088,0.4168487188008357,70.14025767142577
1089,0.2145759830951566,69.15919034791918
1090,0.8945628572133262,68.1562396642953
1091,0.2567787273190146,67.26496429130906
1092,0.713480531052336,66.341657848885
1093,1.577251585250876,65.54589844952575
1094,1.4108045563081155,64.76409077602077
1095,1.044740374077395,63.57714076672894
1096,0.15143031849109223,62.697391451727306
1097,0.5585218445626888,61.822602436436675
