Station,dist_to_ROAD_km
1001,0.03140640593492908
1002,0.021487628978666688
1003,0.021952218952955217
1004,0.025211410646587364
1005,0.024079042946704914
1006,0.03269214423607493
1007,0.034670920104091264
1008,0.026735781073678137
1009,0.026782025968219138
1010,0.01720068321471244
1011,0.028536403490870037
1012,0.029280623547325097
1013,0.028193849467943993
1014,0.022164821716390205
1015,0.02921104465923751
1016,0.023377248640677264
1017,0.02367174575853489
1018,0.026802971530512032
1019,0.04359272648568511
1020,0.020957500844261935
1021,0.0274135238853
1022,0.01608993882883343
1023,0.01880790430387822
1024,0.02544288700109146
1025,0.030780458339567936
1026,0.028246267332951793
1027,0.023800913740152682
1028,0.038119731352181496
1029,0.03712993677082976
1030,0.018107546908225424
1031,0.03796190699502812
1032,0.03953325114234945
1033,0.04697849496771369
1034,0.026100799711075512
1035,0.03127066695001372
1036,0.03154574208049486
1037,0.03137653548028097
1038,0.02639480193137003
1039,0.028198932108873916
1040,0.02941808482069249
1041,0.045626636959610015
1042,0.030264386602227758
1043,0.035446580802946395
1044,0.0381384372456337
1045,0.032656699399470586
1046,0.030762257182497275
1047,0.025140798185369677
1048,0.037431944242590005
1049,0.028540627409287884
1050,0.02784536613530495
1051,0.04076938892519124
1052,0.04254964380286362
1053,0.02450411864603253
1054,0.003931803925715068
1055,0.020639152578601643
1056,0.037668517225949466
1057,0.02833194274351008
1058,0.034255166820328385
1059,0.03287986649212354
1060,0.027354803016624216
1061,0.02991441623344921
1062,0.040951562376962465
1063,0.04052697136803725
1064,0.042695217715121664
1065,0.06185525650792599
1066,0.029326128743067142
1067,0.05403282948838474
1068,0.02898072530628787
1069,0.03569640368588592
1070,0.04766732313197162
1071,0.03277341195677412
1072,0.030053688851588455
1073,0.03628525571007669
1074,0.033384480728136164
1075,0.037566167580432255
1076,0.01211709355219905
1077,0.04806120424188094
1078,0.030562058725664795
1079,0.02531952033032198
1080,0.015644505790898953
1081,0.013022701718192975
1082,0.02500567824804086
1083,0.03278232072946221
1084,0.029826791218773584
1085,0.03023014473738012
1086,0.02593813937671616
1087,0.03865575761429152
1088,0.02712834029324523
1089,0.04321772942691832
1090,0.020781545890591564
1091,0.0011594740725580429
1092,0.026152099931321855
1093,0.019687114835546898
1094,0.01987337671769018
1095,0.03291353855196575
1096,0.06319282511335787
1097,0.03906820181352476
1098,0.05804979466861146
1099,0.031512706810436275
1100,0.018430177466746727
1101,0.030429371166148446
1103,0.052670600882489337
1104,0.024964845253529395
1105,0.026478343158424032
1106,0.02201402237566295
1107,0.03505011794406809
1108,0.0295515406995576
1109,0.020263703915973187
1110,0.04094377089510006
1111,0.029835493576977967
1112,0.03438098399971829
1113,0.03565765691637892
1114,0.029458853999759373
1115,0.03442630413589735
1116,0.018050869320217874
1117,0.02836825546346639
1118,0.021967532762864072
1119,0.03710740735580016
1120,0.07534370017421953
1121,0.03726518913306138
1122,0.022893669260426176
1123,0.0408505612308901
1124,0.025575753204964066
1125,0.022269908739253958
1126,0.04496962222481238
1127,0.023349716111201995
1128,0.02657749742384167
1130,0.0257351326649792
1131,0.040033438557676104
1132,0.03847802263284256
1133,0.02573114826993157
1134,0.035026555879497795
1135,0.046956324382240594
1136,0.03244283678927474
1137,0.03598559669513582
1138,0.026042390205340094
1139,0.02160662476988431
1140,0.03517443049917468
1141,0.02486237552930122
1142,0.039898000477448764
1143,0.013915989111929728
1144,0.029487894080172238
1145,0.03140328779084212
1146,0.030321386598321027
1147,0.029062466555458737
1148,0.029426611360295847
1149,0.04376567695773261
1150,0.03755216052969374
1151,0.08300565667934565
1152,0.02603535795284806
1153,0.01951660602526767
1154,0.026353248065675485
1155,0.022421342521877403
1156,0.029380878161283458
1157,0.01107854422339468
1158,0.02763505793981629
1159,0.028365739347640223
1160,0.054634806181877556
1161,0.05420141967548072
1162,0.026559645912815212
1163,0.04552326732940961
1164,0.023177957081267735
1165,0.0543439230822597
1166,0.04180022307166364
1167,0.025657232240029988
1168,0.01917562359436416
1169,0.03964580234471337
1170,0.03654592002929081
1171,0.022802028743036135
1172,0.03884157965166145
1173,0.04731423090850895
1174,0.04208724608433614
1175,0.04587348456748358
1176,0.040544807058023984
1177,0.033886378372237146
1178,0.0339770281783575
1179,0.032388550840360485
1180,0.03336301571550716
1181,0.029113595176382876
1182,0.026794420886127997
1183,0.03249484882298794
1184,0.04485821410709901
1185,0.03927668055346337
1186,0.040446825268748245
1187,0.020103449257570124
1188,0.03360316061524337
1189,0.03356136887357885
1190,0.04077443171196493
1191,0.045273241743502224
1192,0.043898558076426786
1193,0.05035430167698807
1194,0.02226440987085736
1195,0.024082111542429913
1196,0.029979421852288222
1197,0.04276223511079747
1199,0.03510849018954286
1200,0.03212633797387938
1201,0.016801681371671793
1202,0.05524688365753587
1203,0.03536378535601408
1204,0.021104992313302717
1205,0.01799188510456766
1206,0.03554445012337167
1207,0.03552204907197578
1208,0.04390489716574754
1209,0.04201169101216316
1211,0.036828818134903664
1212,0.04616008977660337
1213,0.039542069303265606
